RespondentID	CollectorID	StartDate	EndDate	IP Address	Email Address	First Name	LastName	Custom Data	DNA_RNA_protein sequence	DNA_RNA_Protein structure	Pathways_interactions_networks	Images	Phenotype	Ecological	Other_types	Work_with_large_datasets__now	Work_with_large_datasets__3_years	Updated_analysis_software__important_now	Updated_analysis_software__Your_institution_or_national_service_meets_this_need	Updated_analysis_software__important_3_years	Multi-step_analysis_workflows_or_pipelines__important_now	Multi-step_analysis_workflows_or_pipelines__Your_institution_or_national_service_meets_this_need	Multi-step_analysis_workflows_or_pipelines__important_3_years	High-performance_or_cluster_computing__important_now	High-performance_or_cluster_computing__Your_institution_or_national_service_meets_this_need	High-performance_or_cluster_computing__important_3_years	Cloud_computing__important_now	Cloud_computing__Your_institution_or_national service_meets_this_need	Cloud_computing__important_3_years	Sufficient_data_storage__important_now	Sufficient_data_storage__Your_institution_or_national_service_meets_this_need	Sufficient_data_storage__important_3_years	Data_discovery__important_now	Data_discovery__Your_institution_or_national_service_meets_this_need	Data_discovery__important_3_years	Share_data_with_colleagues__important_now	Share_data_with_colleagues__Your_institution_or_national_service_meets_this_need	Share_data_with_colleagues__important_3_years	Publish_data__important_now	Publish_data__Your_institution_or_national_service_meets_this_need	Publish_data__important_3_years	Data_volume_per_month	Sharing_with_whom_and_how	Training_bioinformatics_and_analysis_support__important_now	Training_bioinformatics_and_analysis_support__Your_institution_or_national_service_meets_this_need	Training_bioinformatics_and_analysis_support__important_3_years	Training_basic_programming_scripting__important_now	Training_basic_programming_scripting__Your_institution_or_national_service_meets_this_need	Training_basic_programming_scripting__important_3_years	Training_data_management_metadata__important_now	Training_data_management_metadata__Your_institution_or_national_service_meets_this_need	Training_data_management_metadata__important_3_years	Training_integrating_multiple_datatypes__important_now	Training_integrating_multiple_datatypes__Your_institution_or_national_service_meets_this_need	Training_integrating_multiple_datatypes__important_3_years	Training_scaling_analysis_cloud_HPC__important_now	Training_scaling_analysis_cloud_HPC__Your_institution_or_national_service_meets_this_need	Training_scaling_analysis_cloud_HPC__important_3_years	Tools_or_workflows_most_like_provided	Bioinformatics_skill_level	Agriculture	Biochemistry	Bioengineering	 Biogeography	Bioinformatics	Biomechanics	Biomedical research	"Biophysics, Biotechnology"	Botany	Cell biology	Cognitive biology	 Conservation biology	Developmental biology	Ecology	Environmental biology	Epidemiology	Evolutionary biology	Genetics	Hematology	Integrative biology	Marine biology	Microbiology	Molecular biology	 Neurobiology	Population biology	Paleontology	Pathology	Physiology	Phytopathology	Psychobiology	Structural biology	Zoology	Other_discipline	Plants	Animals	Microbes	Human	Non-model Organisms	Position	Position_other	Institute	State	Comment	Email_yes	Email_address
4902587378	88068568	8/10/16 2:04	8/10/16 2:10	masked					yes	yes	yes	yes				no	Yes	YES	NO	YES	YES	NO	NO	I don't know	I don't know	I don't know	NO	I don't know	I don't know	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	I don't know	"Colleagues, dropbox"	YES	NO	YES	NO	I don't know	I don't know	YES	NO	YES	YES	NO	YES	I don't know	I don't know	I don't know	Enhanced training and further education for a wide range of services. 	Beginner																						Microbiology													animals	microbes	human		Researcher (PI)		Griffith University	Qld			masked
4902395026	88068535	8/09/16 23:17	8/09/16 23:36	masked					yes							yes		YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	10GB	"With my supervisors, by hpc folders"	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	Transcriptomic analysis	Beginner														Ecology				Genetics			Marine biology		Molecular biology																PhD student		James Cook University	Qld		yes I want to receive the update on the survey findings	masked
4900731058	88068568	8/09/16 9:54	8/09/16 9:59	masked					yes	yes	yes		yes			yes		YES	NO	YES	YES	I don't know	YES	NO	YES	YES	NO	I don't know	YES	YES	YES	YES	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	100GB-1TB	research colleagues globally	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	NO	I don't know	I don't know	xxx	Never used bioinformatics tools	Agriculture		Bioengineering						Botany				Developmental biology			Epidemiology		Genetics					Molecular biology												animals				Researcher (PI)		University of Adelaide	SA			masked
4900542133	88068568	8/09/16 7:11	8/09/16 7:20	masked					yes		yes	yes	yes	yes		yes		YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	I don't know	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	10-100GB	"Collaborators, national and international "	YES	YES	YES	YES	I don't know	I don't know	YES	I don't know	YES	YES	I don't know	YES	I don't know	I don't know	I don't know	Bioinformatics tools	Never used bioinformatics tools	Agriculture						Biomedical research						Developmental biology					Genetics										Physiology							animals		human		Researcher (PI)		University	SA			masked
4900512020	88068568	8/09/16 6:37	8/09/16 6:48	masked					yes	yes						yes		YES	YES	YES	I don't know			I don't know			I don't know			I don't know			YES	NO	YES	YES	NO	YES	YES	I don't know	YES	I don't know	virologists	YES	NO	YES	NO			NO			NO			NO			sequence comparisons via NCBI and phytozome	Beginner	Agriculture									Cell biology													Molecular biology						Phytopathology					plants					Other (please specify)	researcher (retired) & Emeritus Professor	University of Adelaide	SA	access to funding support is not easy to find		masked
4900503856	88068568	8/09/16 6:32	8/09/16 6:39	masked					yes				yes			yes		YES	YES	YES	YES	YES	YES	YES	I don't know	I don't know	YES	I don't know	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	10-100GB	"Colleagues at the school of biological sciences, and Melbourne University"	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	CLC Bio and advanced bioinformatics training	Intermediate							Biomedical research															Microbiology	Molecular biology												animals	microbes			Researcher (PI)		The University of adelaide	SA		yes I want to receive the update on the survey findings	masked
4900475580	88068568	8/09/16 5:58	8/09/16 6:07	masked					yes				yes			yes		YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	NO	I don't know	I don't know	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	10-100GB	Overseas colleagues. Log in to their portal and download files. 	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	NO	I don't know	I don't know	Training 	Beginner	Agriculture																	Genetics																plants					Researcher (PI)		University of Adelaide	SA			masked
4900448392	88068568	8/09/16 5:28	8/09/16 5:35	masked					yes	yes		yes				no		YES	YES	YES	YES	NO	YES	YES	YES	YES	NO	YES	I don't know	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	10GB	Colleagues	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	NO	NO	NO	"Python, R, NGS data analysis workflow, advanced linux sysadmin/management - workshops"	Advanced					Bioinformatics																	Microbiology									Structural biology					microbes			Researcher (PI)		VIDRL at Doherty Institute	Vic			masked
4900432905	88068568	8/09/16 5:08	8/09/16 5:17	masked					yes		yes		yes	yes		yes		I don't know	I don't know	I don't know	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	10-100GB	Collabolator 	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	RNAseq	Intermediate	Agriculture				Bioinformatics				Botany					Ecology			Evolutionary biology	Genetics					Molecular biology		Population biology									plants					researcher (post-doc)		University of Adelaide	SA		yes I want to receive the update on the survey findings	masked
4900425958	88068568	8/09/16 5:04	8/09/16 5:09	masked					yes	yes	yes					yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	Greater than 1TB	Bioinformaticians and genomics researchers	NO	YES	NO	NO	YES	NO	YES	NO	YES	YES	NO	YES	YES	I don't know	YES	"ENCODE standards, pathway/network software (all comand-line)"	Advanced	Agriculture				Bioinformatics		Biomedical research						Developmental biology				Evolutionary biology						Molecular biology		Population biology									plants	animals		human		researcher (post-doc)		Robinson Research Institute	SA		yes I want to receive the update on the survey findings	masked
4900247672	88068568	8/09/16 2:03	8/09/16 2:15	masked							yes	yes				yes		YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	NO	I don't know	I don't know	NO	I don't know	I don't know	NO	I don't know	I don't know	100GB-1TB	My supervisors via portable hard drive	NO	I don't know	I don't know	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	GATE for Geant4 monte Carlo simulations	Never used bioinformatics tools								"Biophysics, Biotechnology"																									"Radiotherapy, theoretical physics, artificial intelligence"				human		undergraduate		University of Adelaide	SA	"In my experience, I have had access to high performance computing resources but have lacked the tech support to install programs of use in research, and have consequently resorted to home-brewed solutions. More should be spent on management of the resources than the resources themselves, or they are useless."	yes I want to receive the update on the survey findings	masked
4900226165	88068505	8/09/16 1:50	8/09/16 1:57	masked					yes	yes	yes	yes	yes			no	YES	YES	YES	YES	I don't know	I don't know	I don't know	I don't know	YES	I don't know	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	I don't know	YES	YES	YES	YES	10-100GB	lab group	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	"bioinformatics training, large date set QC and analysis, system bilogy workflows"	Beginner					Bioinformatics		Biomedical research			Cell biology								Genetics					Molecular biology	Neurobiology						Psychobiology					animals				PhD student		the university of melbourne	Vic		yes I want to receive the update on the survey findings	masked
4900141996	88068568	8/09/16 0:40	8/09/16 0:48	masked					yes	yes	yes		yes		"Gene, protein, function"	no	Maybe	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	YES	YES	YES	YES	NO	YES	NO	I don't know	I don't know	NO	NO	NO	10GB	N/A	YES	NO	YES	NO	YES	I don't know	NO	I don't know	I don't know	NO	I don't know	I don't know	NO	I don't know	I don't know	Gene and proteins and phenotype data set analysis	Beginner							Biomedical research															Microbiology	Molecular biology													microbes			Researcher (PI)		University of Adelaide	SA	This survery is too complex and detailed and does no address my requirements		masked
4900090397	88068568	8/08/16 23:57	8/09/16 0:10	masked					yes							yes		YES	NO	YES	YES	NO	YES	YES	YES	YES	I don't know	YES	I don't know	YES	YES	YES	YES	NO	YES	YES	YES	YES	NO	NO	I don't know	10-100GB	"Share it with colleagues.  Via memory stick, commonly accessible storage, email attachment."	YES	NO	YES	NO	I don't know	NO	NO	I don't know	I don't know	NO	I don't know	I don't know	NO	I don't know	I don't know	Better connectivity between desktop computer and supercomputers.  Easier ways to find and match genomic data.	Intermediate					Bioinformatics													Genetics																	animals		human		Other (please specify)	Computing support for researchers	Adelaide University	SA		yes I want to receive the update on the survey findings	masked
4900086419	88068568	8/08/16 23:55	8/09/16 0:04	masked					yes					yes		yes		YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	YES	NO	YES	YES	I don't know	YES	10-100GB	Other universities	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	I don't know	I don't know	YES	YES	I don't know	YES	"I'd like to see the gap between bioinformatics and ground research to be bridged. Make Bioinformatics not as elite as it is right now. Better manuals!! Easier ways to get started. There is a trend of, If you don't know R or Python or any other language it is difficult to communicate."	Beginner				Biogeography					Botany			Conservation biology		Ecology	Environmental biology		Evolutionary biology				Marine biology		Molecular biology		Population biology									plants					researcher (post-doc)		University of Adelaide	SA	"Bioinformatitions need to communicate their science better, to a broader audience."	yes I want to receive the update on the survey findings	masked
4900082283	88068568	8/08/16 23:55	8/09/16 0:01	masked					yes		yes	yes	yes			no		YES	NO	YES	NO	NO	YES	NO	YES	NO	NO	I don't know	NO	YES	YES	YES	YES	YES	YES	NO	I don't know	NO	NO	I don't know	NO	10GB	Publications only.	YES	NO	YES	NO	I don't know	NO	NO	NO	I don't know	NO	NO	I don't know	NO	NO	I don't know	Software that lowers the entry barrier to students starting out on bioinformatics (ie not R).	Beginner							Biomedical research			Cell biology								Genetics																	animals				Researcher (PI)		University of Adelaide	SA			masked
4900075766	88068568	8/08/16 23:51	8/08/16 23:55	masked								yes		yes		no		NO	YES	YES	I don't know	I don't know	I don't know	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	10-100GB	"Collaborators, open access.  At the moment it is shared through data archiving sites."	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	I don't know	I don't know	I don't know	Training	Intermediate												Conservation biology		Ecology							Marine biology														animals				researcher (post-doc)		University of Adelaide	SA		yes I want to receive the update on the survey findings	masked
4894672511	88068568	8/05/16 11:42	8/05/16 11:48	masked					yes	yes	yes			yes		yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	10-100GB	everybody	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	I am a tool developer. I would like assistance integrating my tools into larger workflows and making them more broadly accessible	Advanced	Agriculture	Biochemistry		Biogeography	Bioinformatics		Biomedical research	"Biophysics, Biotechnology"						Ecology	Environmental biology	Epidemiology	Evolutionary biology	Genetics			Marine biology	Microbiology	Molecular biology												animals	microbes	human		Researcher (PI)		"ithree institute, UTS"	NSW	nice PR effort.	yes I want to receive the update on the survey findings	masked
4894616185	88068568	8/05/16 11:03	8/05/16 11:07	masked					yes			yes	yes			yes		YES	I don't know	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	I don't know	YES	YES	YES	YES	I don't know	NO	10GB	"research team members and collaborators - cloudstor, various file share /ftp approaches"	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	"work flows,  central open access workflows on national HPCs"	Beginner																						Microbiology													animals	microbes	human		Researcher (PI)			NSW			masked
4894284662	88068535	8/05/16 5:39	8/05/16 5:45	masked					yes			yes				yes		YES	NO	I don't know	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	10-100GB	"Colleagues, Cloud based"	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	"Transcriptome assembly and annotations, metatranscriptomics"	Intermediate																		Genetics			Marine biology	Microbiology	Molecular biology												animals	microbes			PhD student		James Cook University	Qld			masked
4894261861	88068568	8/05/16 5:13	8/05/16 5:18	masked								yes				yes		YES	I don't know	YES	NO	I don't know	YES	NO	YES	I don't know	NO	I don't know	NO	YES	YES	YES	NO	NO	I don't know	NO	YES	YES	NO	YES	YES	Greater than 1TB	"Just my supervisor for the time-being, and through reduced datasets in Excel."	YES	NO	YES	YES	NO	YES	NO	YES	NO	I don't know	I don't know	I don't know	NO	YES	NO	"Training with R, Python, even some more basic languages like C/C+/C#"	Beginner							Biomedical research																				Pathology									microbes			PhD student		Eskitis Institute	Qld		yes I want to receive the update on the survey findings	masked
4894254649	88068535	8/05/16 5:04	8/05/16 5:10	masked					yes			yes	yes	yes	gas chromatography	no	Yes!! In the next 3 months	YES	I don't know	YES	YES	NO	YES	NO	I don't know	YES	NO	I don't know	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	I don't know	Scientific community as part of publishing papers	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	"analysis of snp data for population genomics, phylogenomics, and adaptation genomics"	Beginner																	Evolutionary biology																		animals			"frogs, geckos"	Researcher (PI)		James Cook University	Qld		yes I want to receive the update on the survey findings	masked
4894248744	88068568	8/05/16 4:55	8/05/16 5:03	masked							yes				Drug targets	no	Yes	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	10GB	Colaborator 	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	Machine learning	Beginner																				Integrative biology	Marine biology												Targeted drug discovery					bio-physical methods 	PhD student		Griffith University 	Qld		yes I want to receive the update on the survey findings	masked
4894208067	88068568	8/05/16 4:08	8/05/16 4:17	masked						yes						no	Yes	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	NO	YES	100GB-1TB	Research collaborators and sometimes also making it publicly available after publishing	YES	NO	YES	YES	YES	YES	YES	NO	YES	NO	I don't know	I don't know	NO	NO	YES	"Airflow, help setup pipeline, hpc training "	Intermediate		Biochemistry																													Structural biology				animals	microbes	human		Other (please specify)	Staff scientist 	Australian Synchrotron 	Vic		yes I want to receive the update on the survey findings	masked
4894156066	88068568	8/05/16 3:20	8/05/16 3:24	masked					yes	yes						yes		YES	YES	YES	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	I don't know	YES	YES	YES	YES	100GB-1TB	N/A	I don't know	NO	I don't know	YES	NO	YES	NO	NO	NO	YES	NO	YES	YES	YES	YES	making fluid workflows	Intermediate							Biomedical research						Developmental biology						Hematology				Molecular biology												animals				PhD student			Qld			masked
4893967814	88068568	8/04/16 23:50	8/05/16 0:39	masked					yes	yes	yes					no	I don't know	YES	I don't know	I don't know	YES	NO	YES	YES	NO	YES	NO	NO	I don't know	NO	YES	YES	I don't know	NO	YES	YES	NO	YES	NO	NO	NO	I don't know	supervisors via cloud	YES	NO	YES	YES	NO	YES	YES	NO	YES	NO	NO	YES	I don't know	I don't know	I don't know	Scripting	Intermediate							Biomedical research																												animals		human		PhD student		SBMS UQ	Qld			masked
4893876990	88068568	8/04/16 23:21	8/04/16 23:26	masked							yes	yes				no		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	I don't know	NO	YES	YES	YES	I don't know	YES	YES	I don't know	YES	YES	YES	YES	Greater than 1TB	Collaborators in Bordeaux (France)	YES	YES	YES	YES	YES	YES	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	Image analysis. Metamorph PALMtracer wavetracer and other analysis based on matlab	Intermediate							Biomedical research			Cell biology														Neurobiology											animals				Researcher (PI)		University of Queensland	Qld		yes I want to receive the update on the survey findings	masked
4893848540	88068568	8/04/16 22:59	8/04/16 23:06	masked					yes		yes	yes	yes			no	yes 	NO	I don't know	YES	NO	I don't know	YES	NO	I don't know	I don't know	NO	I don't know	I don't know	NO	I don't know	I don't know	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	10GB	collaborators	YES	NO	YES	YES	I don't know	I don't know	NO	I don't know	YES	YES	I don't know	YES	I don't know	I don't know	I don't know	"bioinformatic collaboration opportunities, training, workflows"	Beginner		Biochemistry					Biomedical research			Cell biology			Developmental biology					Genetics					Molecular biology												animals		human		Researcher (PI)		University of Queensland	Qld	-		masked
4892175208	88068535	8/04/16 7:49	8/04/16 7:55	masked					yes		yes		yes			yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	I don't know	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	Greater than 1TB	"national and international partners, various methods depending on data size"	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	graph databases for biology	Advanced	Agriculture				Bioinformatics				Botany												Marine biology													plants	animals	microbes			Researcher (PI)		UWA	WA	consider long term support for increased scale of data.	yes I want to receive the update on the survey findings	masked
4889849969	88068505	8/03/16 7:30	8/03/16 7:39	masked					yes		yes	yes	yes			yes		YES	I don't know	YES	I don't know	I don't know	I don't know	YES	I don't know	YES	NO	I don't know	I don't know	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	10-100GB	"colleagues in US, use their data sharing platform, have used Dropbox"	YES	YES	YES	NO	I don't know	YES	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	YES	I don't have enough base knowledge to be able to answer this	Beginner							Biomedical research																	Neurobiology				Physiology							animals				Researcher (PI)		University of Melbourne	Vic		yes I want to receive the update on the survey findings	masked
4887242642	88068535	8/02/16 4:19	8/02/16 4:25	masked					yes				yes		Genotypic	yes		YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	YES	YES	NO	NO	NO	10-100GB	Private collaborators	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	"General training on various aspects of new infrastructure, i.e. using QCIF services"	Intermediate	Agriculture				Bioinformatics													Genetics																	animals			"Aquaculture (prawns, oysters)"	researcher (post-doc)		James Cook University	Qld			masked
4885125550	88068535	8/01/16 6:38	8/01/16 6:44	masked					yes							yes		YES	NO	I don't know	YES	NO	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	NO	I don't know	I don't know	YES	YES	I don't know	YES	I don't know	I don't know	100GB-1TB	"Colleagues, using QCIF"	YES	NO	I don't know	YES	NO	I don't know	NO	I don't know	I don't know	NO	I don't know	I don't know		I don't know		"large genome assembly, de novo transcriptome assembly, differential gene expression, metagenomics pipelines"	Intermediate					Bioinformatics																												Aquaculture		animals				researcher (post-doc)		JAmes Cook University	Qld		yes I want to receive the update on the survey findings	masked
4876667278	88068505	07/27/2016 04:39:38	07/27/2016 04:47:52	masked					yes		yes					yes		YES	NO	YES	YES	YES	YES	YES	YES	YES	I don't know	I don't know	I don't know	YES	YES	YES	YES	I don't know	YES	YES	YES	YES	YES	NO	YES	100GB-1TB	Everyone via public repositories. Personal sharing via UNSW file sharing. Local sharing via shared filestores.	YES	I don't know	YES	YES	YES	YES	YES	I don't know	YES	YES	NO	YES	YES	I don't know	YES	Tools/techniques for making software/data easily available for universal workflows (e.g. biodockers). Methods for easy custom data sharing (e.g. shiny).	Advanced	Agriculture	Biochemistry			Bioinformatics		Biomedical research			Cell biology							Evolutionary biology	Genetics				Microbiology	Molecular biology										"Genomics, Proteomics"	plants	animals	microbes	human	Various	Researcher (PI)		UNSW	NSW		yes I want to receive the update on the survey findings	masked
4876474109	88068505	07/27/2016 01:44:17	07/27/2016 01:48:59	masked					yes		yes					yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	Greater than 1TB	"Collaborators + the world; amazon EC2, in house servers or public repositories"	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	"Less training, more resource funding and allocation."	Advanced		Biochemistry			Bioinformatics					Cell biology									Hematology				Molecular biology	Neurobiology											animals		human		researcher (post-doc)		Centenary Institute	NSW			masked
4874425179	88068505	07/26/2016 07:52:02	07/26/2016 08:01:22	masked					yes						metabolomics	no		YES	NO	YES	YES	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	10GB	Stemformatics	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	NO	YES	NO	I don't know	YES	"Given the popularity, more frequent R training. Data integration software licensing"	Beginner							Biomedical research			Cell biology																									animals		human		researcher (post-doc)		Uni Melbourne	Vic	Need pipeline development for the integration of (non-plant) metabolomics with other 'omics datasets		masked
4874209539	88068568	07/26/2016 04:26:43	07/26/2016 04:31:12	masked					yes							yes		YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	I don't know	NO	YES	YES	NO	YES	YES	NO	YES	Greater than 1TB	International collaborators	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	"Workflows, automation, best practice sharing"	Advanced					Bioinformatics																															microbes	human		Researcher (PI)		VLSCI	Vic		yes I want to receive the update on the survey findings	masked
4873797903	88068568	07/25/2016 22:29:29	07/25/2016 22:35:22	masked					yes		yes	yes				yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	100GB-1TB	"Colleagues (googledrive), public (some sort of repository)"	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	YES	YES	YES	YES	I don't know	YES	Phylogenetics	Intermediate							Biomedical research						Developmental biology															Physiology							animals				PhD student		Hudson Institute	Vic			masked
4872280172	88068505	07/25/2016 10:48:07	07/25/2016 11:04:21	masked					yes		yes					yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	Greater than 1TB	"researchers, collaborators, clients. Via FTP and Cloudstor."	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	"rnaseq alignment, de novo genome assemblers."	Advanced					Bioinformatics																													plants	animals	microbes	human	anything you can think of	Other (please specify)	Manager	AGRF	Vic	"Please don't mirror databases, waste of money."		masked
4871982157	88068505	07/25/2016 06:45:02	07/25/2016 06:50:01	masked							yes		yes		Genomics	yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	10GB	Collaborators. Via shared server access.	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	"Cytoscape, pathway analysis tools, NGS pipelines"	Intermediate					Bioinformatics					Cell biology													Molecular biology												animals		human		researcher (post-doc)		The University of Queensland	Qld		yes I want to receive the update on the survey findings	masked
4871912401	88068505	07/25/2016 05:14:41	07/25/2016 05:22:00	masked					yes							yes		YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	100GB-1TB	colaborators: web inks to our servers	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	"The overwhelming need is for training in data handling python, R- scrpting to understand the what the data means. Mostly students and Post-docs are too scared to start"	Beginner		Biochemistry																Genetics					Molecular biology												animals	microbes	human		Researcher (PI)		Monash	Vic	The answer is not more tools or hardware. Its in training	yes I want to receive the update on the survey findings	masked
4871900700	88068505	07/25/2016 04:52:49	07/25/2016 05:06:06	masked					yes		yes		yes			yes		YES	YES	YES	YES	I don't know	YES	YES	YES	I don't know	I don't know	YES	I don't know	YES	YES	I don't know	NO	I don't know	I don't know	YES	YES	YES	YES	I don't know	YES	100GB-1TB	Colleagues using high performance computer 	YES	YES	YES	NO	YES	NO	YES	YES	YES	NO	NO	I don't know	NO	I don't know	I don't know	Post RNA-seq analysis 	Beginner																		Genetics				Microbiology	Molecular biology													microbes			PhD student		The University of Adelaide 	SA		yes I want to receive the update on the survey findings	masked
4871866343	88068535	07/25/2016 04:14:10	07/25/2016 04:18:50	masked											"clinical data (incidence, associations)"	no		YES	YES	YES										YES	YES	YES	NO	YES	YES	YES	YES	YES	NO	I don't know	I don't know	10GB	"other mcri employees, interstate collaborators. email, shared drives, my cloud  "	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	I don't know			I don't know			NA	Beginner							Biomedical research												Hematology									Physiology									human		Other (please specify)	Researcher (study coordinator) and PhD student	MCRI	Vic			masked
4853540150	88068505	07/13/2016 00:19:59	07/14/2016 06:46:00	masked					yes							yes		YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	100GB-1TB	"Collaborators, Cloudstor / FTP / Hard drives"	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	"NGS data analysis pipelines (DNAseq, RNAseq, ChIPseq etc). Softwares for pathway analysis. Training in clinical bioinformatics."	Advanced					Bioinformatics		Biomedical research																Molecular biology														human		Other (please specify)	Senior Bioinformatician	"Monash Uni, Monash Health"	Vic		yes I want to receive the update on the survey findings	masked
